id,set_name,card_name,ungraded,psa_7,psa_8,psa_9,psa_9_5,psa_10,bgs_10,cgc_10,sgc_10,release_date,set_z_score
842594,Pokemon Aquapolis,Aipom #67,7.0,9.6,18.52,20.0,22.0,87.5,114.0,31.0,53.0,2003-01-15,-0.24
2293958,Pokemon Aquapolis,Aipom [Reverse Holo] #67,28.62,18.62,44.05,120.0,128.75,144.0,187.0,125.0,86.0,2003-01-15,-0.23
842530,Pokemon Aquapolis,Ampharos #1,27.77,23.99,28.91,36.0,41.99,166.87,217.0,64.65,100.0,2003-01-15,-0.22
887937,Pokemon Aquapolis,Ampharos #H1,153.75,170.17,299.99,1072.51,1180.0,12200.0,15860.0,7320.0,7320.0,2003-01-15,2.13
2293892,Pokemon Aquapolis,Ampharos [Reverse Holo] #1,61.26,28.41,67.0,101.5,112.0,119.39,155.0,87.5,72.0,2003-01-15,-0.23
842634,Pokemon Aquapolis,Apricorn Forest #118,6.5,10.0,12.2,22.5,25.0,27.0,35.0,129.48,16.0,2003-01-15,-0.25
2294009,Pokemon Aquapolis,Apricorn Forest [Reverse Holo] #118,20.0,19.0,23.66,32.0,35.0,225.0,293.0,135.0,135.0,2003-01-15,-0.21
842531,Pokemon Aquapolis,Arcanine #2,95.42,50.0,62.0,103.46,114.0,289.25,376.0,100.0,174.0,2003-01-15,-0.2
887948,Pokemon Aquapolis,Arcanine #H2,281.49,325.0,1064.49,1806.67,1987.0,10843.04,14096.0,2961.9,6506.0,2003-01-15,1.87
2293893,Pokemon Aquapolis,Arcanine [Reverse Holo] #2,74.83,90.0,360.0,396.0,392.0,399.99,520.0,288.44,240.0,2003-01-15,-0.18
842532,Pokemon Aquapolis,Ariados #3,7.99,6.13,33.5,37.0,41.0,109.47,142.0,66.0,66.0,2003-01-15,-0.23
887959,Pokemon Aquapolis,Ariados #H3,35.28,76.0,95.4,203.03,285.0,1285.0,1671.0,239.12,771.0,2003-01-15,-0.0
2293894,Pokemon Aquapolis,Ariados [Reverse Holo] #3,21.87,15.5,23.25,53.54,59.0,253.18,329.0,63.56,152.0,2003-01-15,-0.21
842533,Pokemon Aquapolis,Azumarill #4,20.68,13.0,16.32,43.72,48.0,173.7,226.0,64.0,104.0,2003-01-15,-0.22
887963,Pokemon Aquapolis,Azumarill #H4,122.45,137.03,190.0,500.04,550.0,2650.0,3445.0,575.89,1590.0,2003-01-15,0.26
2293895,Pokemon Aquapolis,Azumarill [Reverse Holo] #4,20.74,43.69,98.87,111.0,128.0,130.5,170.0,78.0,78.0,2003-01-15,-0.23
842534,Pokemon Aquapolis,Bellossom #5,20.0,10.0,12.0,23.95,26.0,99.33,129.0,76.53,60.0,2003-01-15,-0.24
887964,Pokemon Aquapolis,Bellossom #H5,79.23,117.5,250.0,330.0,363.0,2560.19,3328.0,599.99,1536.0,2003-01-15,0.25
2293896,Pokemon Aquapolis,Bellossom [Reverse Holo] #5,32.49,29.8,46.0,55.46,61.0,693.76,902.0,90.0,416.0,2003-01-15,-0.12
842572,Pokemon Aquapolis,Bellsprout #45,17.26,10.62,21.86,23.75,26.0,62.98,82.0,33.53,38.0,2003-01-15,-0.24
887924,Pokemon Aquapolis,Bellsprout #68,8.5,4.29,5.5,31.75,35.0,58.05,75.0,33.07,35.0,2003-01-15,-0.24
2293936,Pokemon Aquapolis,Bellsprout [Reverse Holo] #45,25.2,15.0,45.0,100.0,110.0,120.0,156.0,51.0,72.0,2003-01-15,-0.23
2293959,Pokemon Aquapolis,Bellsprout [Reverse Holo] #68,36.0,15.5,39.99,44.0,48.0,120.5,157.0,72.0,72.0,2003-01-15,-0.23
842535,Pokemon Aquapolis,Blissey #6,7.0,14.7,26.16,29.38,32.0,135.42,176.0,32.52,81.0,2003-01-15,-0.23
887965,Pokemon Aquapolis,Blissey #H6,97.5,67.5,189.97,440.0,484.0,3237.59,4209.0,329.19,1943.0,2003-01-15,0.38
2293897,Pokemon Aquapolis,Blissey [Reverse Holo] #6,40.64,19.01,45.85,97.43,99.99,189.8,247.0,216.93,114.0,2003-01-15,-0.22
842661,Pokemon Aquapolis,Boost Energy #145,5.77,2.48,4.97,5.5,6.0,99.99,130.0,15.5,60.0,2003-01-15,-0.24
